prot1,prot2,gene1,gene2,idm,authors,pub_id,species1,species2,interaction_type,source_databases,interaction_identifiers,confidence_score,biological_role1,biological_role2,exp_role1,exp_role2,interactor_type1,interactor_type2,taxid_host,participant_id_method1,participant_id_method2,service_name,biogrid_experimental_system,biogrid_description,biogrid_type,throughput
P30771,P30771,NAM7,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Krogan NJ (2004),pubmed:14759368,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:96749,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P47017,NAM7,LSM1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2002),pubmed:11805826,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:97754,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P32588,NAM7,PUB1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2002),pubmed:11805826,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:98554,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,Q99383,NAM7,HRP1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gonzalez CI (2000),pubmed:10882134,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:137092,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Wang W (2001),pubmed:11179232,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:138589,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,Q99383,NAM7,HRP1,"psi-mi:""MI:0401""(biochemical)",Gonzalez CI (2000),pubmed:10882134,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:140267,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0661""(experimental participant identification)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P30771,Q08491,NAM7,SKI7,"psi-mi:""MI:0401""(biochemical)",Takahashi S (2003),pubmed:12881429,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:140672,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0661""(experimental participant identification)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0401""(biochemical)",Wang W (2001),pubmed:11179232,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:140673,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0661""(experimental participant identification)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1997),pubmed:9032286,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142038,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1997),pubmed:9032286,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142039,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
